_id,SectionID,Highway,DIR,FROM_Distance,TO_Distance,PCI,DMI,IRI,Pave_Type,Pavement_Section_From,Pavement_Section_To,FUNC_CLASS
1,,QEW,E,0.23,4.679,69.54,7.31,1.34,AC,FORT ERIE - CENTRAL AV IC,FORT ERIE - GILMORE RD IC-5,FWY
2,,QEW,E,4.679,13.227,62.8,6.47,1.23,AC,FORT ERIE - GILMORE RD IC-5,NIAG FALLS - 1.0 KM W OF NETHERBY RD IC-12,FWY
3,,QEW,E,36.544,39.849,50.13,5.59,1.86,AC,HWY 405,EAST END GARDEN CITY SKYWAY,FWY
4,,QEW,E,39.849,42.16,78.68,8.83,1.94,AC,EAST END GARDEN CITY SKYWAY,WEST END GARDEN CITY SKYWAY,FWY
5,,QEW,E,42.16,49.837,85.68,9.16,1.4,AC,WEST END GARDEN CITY SKYWAY,1.0 KM W OF HWY 406 IC (FIFTH ST),FWY
6,,QEW,E,49.837,51.134,72.15,7.8,1.34,CO,1.0 KM W OF HWY 406 IC (FIFTH ST),0.60 KM W OF SEVENTH ST IC,FWY
7,,QEW,E,51.134,57.436,82.89,8.71,1.06,CO,0.60 KM W OF SEVENTH ST IC,0.3 KM E OF VICTORIA AVE IC,FWY
8,,QEW,E,57.436,73.174,76.8,7.76,0.88,AC,0.3 KM E OF VICTORIA AVE IC,1.5 KM E OF CASABLANCA BLVD - IC-74,FWY
9,,QEW,E,73.174,75.606,85.23,8.7,0.84,CO,1.5 KM E OF CASABLANCA BLVD - IC-74,1.1 KM W OF CASABLANCA BLVD - IC-74,FWY
10,,QEW,E,75.606,82.518,94.11,9.48,0.66,AC,1.1 KM W OF CASABLANCA BLVD - IC-74,0.7KM E OF FRUITLANDS RD IC-83,FWY
11,,QEW,E,82.518,86.667,89.96,9.2,0.8,CO,0.7KM E OF FRUITLANDS RD IC-83,PINELANDS AV (GRAYS RD UP),FWY
12,,QEW,E,86.667,88.435,85.04,8.63,0.82,AC,PINELANDS AV (GRAYS RD UP),HAMILTON - CENTENNIAL PKWY IC-88,FWY
13,,QEW,E,101.661,104.426,66.19,6.98,1.39,AC,BRANT ST IC,0.9 KM E OF GUELPH LINE,FWY
14,,QEW,E,104.426,109.612,69.48,7.16,1.16,AC,0.9 KM E OF GUELPH LINE,BURLOAK DR IC-109,FWY
15,,QEW,E,109.612,113.598,79.03,8.24,1.19,AC,BURLOAK DR IC-109,THIRD LINE IC-113,FWY
16,,QEW,E,113.598,119.578,77.41,8,1.11,AC,THIRD LINE IC-113,0.8KM E TRAFALGAR RD IC-118,FWY
17,,QEW,E,119.578,125.923,89.1,9.2,1,AC,0.8KM E TRAFALGAR RD IC-118,1.2KM E OF WINSTON CHURCHILL BLVD IC-124,FWY
18,,QEW,E,125.923,130.882,86.61,9,0.95,CO,1.2KM E OF WINSTON CHURCHILL BLVD IC-124,MISSISSAUGA RD IC-130,FWY
19,,QEW,E,130.882,137.488,74.44,8.07,1.33,CO,MISSISSAUGA RD IC-130,E OF DIXIE RD,FWY
20,,QEW,E,137.488,139.363,65.62,7.46,1.66,CO,E OF DIXIE RD,ETOBICOKE-HWY 427 IC-139,FWY
21,,QEW,N,13.227,22.092,73.44,7.88,1.5,AC,NIAG FALLS - 1.0 KM W OF NETHERBY RD IC-12,NIAG FALLS - LYONS CK RD IC-21,FWY
22,,QEW,N,22.092,29.594,82.5,8.48,1.01,AC,NIAG FALLS - LYONS CK RD IC-21,NIAG FALLS - HWY 420 IC-30,FWY
23,,QEW,N,29.594,33.295,82.39,8.6,1.17,AC,NIAG FALLS - HWY 420 IC-30,MOUNTAIN RD IC-34,FWY
24,,QEW,N,33.295,36.544,92.14,9.48,0.93,AC,MOUNTAIN RD IC-34,HWY 405,FWY
25,,QEW,N,88.435,91.562,77.99,8.08,1.13,AC,HAMILTON - CENTENNIAL PKWY IC-88,2.1 KM S OF BURLINGTON SKYWAY SOUTH - END,FWY
26,,QEW,N,91.562,93.702,76.67,7.85,1.03,AC,2.1 KM S OF BURLINGTON SKYWAY SOUTH - END,BURLINGTON SKYWAY SOUTH END,FWY
27,,QEW,N,93.702,96.567,81.64,8.94,1.68,AC,BURLINGTON SKYWAY SOUTH END,NORTH END BURLINGTON SKYWAY,FWY
28,,QEW,N,96.567,101.661,73.51,7.62,1.18,AC,NORTH END BURLINGTON SKYWAY,BRANT ST IC,FWY
29,,QEW,S,13.227,22.092,75.04,7.84,1.24,AC,NIAG FALLS - 1.0 KM W OF NETHERBY RD IC-12,NIAG FALLS - LYONS CK RD IC-21,FWY
30,,QEW,S,22.092,29.594,86.49,8.87,0.95,AC,NIAG FALLS - LYONS CK RD IC-21,NIAG FALLS - HWY 420 IC-30,FWY
31,,QEW,S,29.594,33.295,89.17,9.36,1.18,AC,NIAG FALLS - HWY 420 IC-30,MOUNTAIN RD IC-34,FWY
32,,QEW,S,33.295,36.544,89.81,9.39,1.13,AC,MOUNTAIN RD IC-34,HWY 405,FWY
33,,QEW,S,88.435,91.562,81.97,8.47,1.07,AC,HAMILTON - CENTENNIAL PKWY IC-88,2.1 KM S OF BURLINGTON SKYWAY SOUTH - END,FWY
34,,QEW,S,91.562,93.702,90.67,9.23,0.82,AC,2.1 KM S OF BURLINGTON SKYWAY SOUTH - END,BURLINGTON SKYWAY SOUTH END,FWY
